"date","predicted_cases","lower_80","upper_80","lower_95","upper_95"
2025-03-31,0.00618570501463328,-167.617619106919,167.629990516949,-256.352301316418,256.364672726447
2025-04-01,-0.0081160559598508,-187.642295311755,187.626063199836,-286.969829885877,286.953597773957
2025-04-02,-0.0125321231145337,-202.52851862481,202.503454378581,-309.734006083664,309.708941837435
2025-04-03,-0.0102161241507576,-207.90796144166,207.887529193359,-317.96237992666,317.941947678358
2025-04-04,-0.00702397567503134,-217.693147197595,217.679099246245,-332.92921994506,332.91517199371
2025-04-05,-0.00204685047740739,-229.395655007277,229.391561306323,-350.829295912407,350.825202211452
2025-04-06,-0.00157877938377306,-250.609575528656,250.606417969888,-383.27343538827,383.270277829503
2025-04-07,-0.00601805404223091,-286.46295095306,286.450914844976,-438.104091279285,438.0920551712
2025-04-08,-0.00942201930548846,-309.240845603757,309.222001565146,-472.938073045546,472.919229006935
2025-04-09,-0.01264746926852,-322.328675690391,322.303380751854,-492.952474424214,492.927179485677
2025-04-10,-0.0123778782531966,-331.402359263526,331.377603507019,-506.829618647273,506.804862890767
2025-04-11,-0.00863671400261978,-340.163133518346,340.145860090341,-520.230047104575,520.212773676569
2025-04-12,-0.00473495056630686,-353.018727462812,353.009257561679,-539.893046872428,539.883576971295
2025-04-13,-0.00295142967638869,-370.217524084099,370.211621224747,-566.197280603006,566.191377743653
2025-04-14,-0.0024663292789669,-402.137673696053,402.132741037495,-615.015193514773,615.010260856215
2025-04-15,-0.00973534027988532,-422.992740719114,422.973270038555,-646.906418161409,646.886947480849
2025-04-16,-0.0135550812752908,-438.270097580725,438.242987418174,-670.269097177193,670.241987014642
2025-04-17,-0.0133111042476166,-448.375536085839,448.348913877344,-685.724160841866,685.697538633371
2025-04-18,-0.0105417334713247,-458.815535726989,458.794452260047,-701.692228472525,701.671145005583
2025-04-19,-0.00652192386571615,-471.333623624094,471.320579776362,-720.839119773745,720.826075926013
2025-04-20,-0.00483564499956916,-488.361855168678,488.352183878679,-746.882445253305,746.872773963306
2025-04-21,-0.00691100241111603,-507.575170501273,507.561348496451,-776.265576716497,776.251754711675
2025-04-22,-0.00914214258113028,-524.906078934651,524.887794649488,-802.769732794795,802.751448509633
2025-04-23,-0.0118516209154935,-538.027293575474,538.003590333643,-822.835464581993,822.811761340162
2025-04-24,-0.0125279685616271,-548.417600303745,548.392544366622,-838.725709407562,838.700653470438
2025-04-25,-0.0106254925486797,-557.865596603442,557.844345618345,-853.176179942438,853.154928957341
2025-04-26,-0.00793517043188355,-568.836821790294,568.82095144943,-869.956645090015,869.940774749151
2025-04-27,-0.00613942070495243,-581.982732947788,581.970454106379,-890.06253186377,890.05025302236
2025-04-28,-0.00578148209841711,-598.715063463548,598.703500499352,-915.652612590931,915.641049626734
2025-04-29,-0.00894577592608411,-613.579766414318,613.561874862466,-938.384538883561,938.366647331709
2025-04-30,-0.0113509533376496,-626.238966614798,626.216264708123,-957.743841646579,957.721139739904
2025-05-01,-0.0119951254586472,-636.441024144495,636.417033893578,-973.346201200131,973.322210949214
2025-05-02,-0.0109125319142282,-646.036003762241,646.014178698413,-988.021029302028,987.999204238199
2025-05-03,-0.00874631143025264,-656.212799627734,656.195307004874,-1003.58624220611,1003.56874958325
2025-05-04,-0.00729580008344174,-668.093746594774,668.079154994607,-1021.75735043822,1021.74275883805
2025-05-05,-0.00772171875829444,-680.847591069707,680.83214763219,-1041.26244688446,1041.24700344694
2025-05-06,-0.00870278065081269,-693.549028932111,693.531623370809,-1060.68710045822,1060.66969489692
2025-05-07,-0.0103377859012494,-704.782621084751,704.761945512948,-1077.86653156364,1077.84585599184
2025-05-08,-0.0111849730019112,-714.615819750804,714.593449804801,-1092.90466269639,1092.88229275039
2025-05-09,-0.0106212858116952,-723.629226015116,723.607983443492,-1106.68977641592,1106.66853384429
2025-05-10,-0.00927678453077136,-732.94640437281,732.927850803749,-1120.93988279944,1120.92132923038
2025-05-11,-0.00804302352722747,-743.092305024877,743.076218977822,-1136.4573519378,1136.44126589075
2025-05-12,-0.0075441022535214,-754.490730164134,754.475641959627,-1153.89000297461,1153.8749147701
2025-05-13,-0.00872175304847324,-765.682829512399,765.665386006302,-1171.00621842064,1170.98877491455
2025-05-14,-0.00999377196403597,-776.145700816223,776.125713272295,-1187.00712585836,1186.98713831444
2025-05-15,-0.0106848220967906,-785.515752377959,785.494382733765,-1201.33701727361,1201.31564762942
2025-05-16,-0.0104834621844863,-794.316916530937,794.295949606568,-1214.79734289039,1214.77637596602
2025-05-17,-0.00952671868587584,-803.112457113828,803.093403676456,-1228.24946787482,1228.23041443745
2025-05-18,-0.00861226051845961,-812.476743601501,812.459519080464,-1242.5713922749,1242.55416775386
2025-05-19,-0.0084580725058018,-822.260996470859,822.244080325847,-1257.53519736728,1257.51828122226
2025-05-20,-0.00874722106963785,-832.23518070134,832.217686259201,-1272.78924272177,1272.77174827963
2025-05-21,-0.00956880432630036,-841.757266802033,841.73812919338,-1287.35158179927,1287.33244419061
2025-05-22,-0.0102069947132485,-850.644764754906,850.624350765479,-1300.94349913785,1300.92308514843
2025-05-23,-0.0101965747779307,-859.006922857763,858.986529708207,-1313.73232186203,1313.71192871248
2025-05-24,-0.00965243484108752,-867.295763068206,867.276458198524,-1326.40929708032,1326.38999221064
2025-05-25,-0.00895693290168709,-875.830283821618,875.812369955815,-1339.46208839117,1339.44417452537
2025-05-26,-0.00852438906180615,-884.842041532152,884.824992754028,-1353.24461144217,1353.22756266405
